,,2013 CRUISE SCHEDULE as of:,,2/10/2013,,,,,,,,,,,
,Day,Date,Vessel,Type,Duration,Remarks,ETA,ETD,Berth,Pass. Capacity,LOA,Agency,Cruise Line,voyage,
1,Fri,05/03/13,Norwegian Dawn,Turn,7 Day,arriving from St Thomas -Debark/Emb,7:00,16:00,Main Berth 8/9,2224,958,Moran,NCL,14130503,Notes
2,Sat,05/04/13,Veendam,Turn,14 Day,Boston/Montreal/BOS-Debark/Emb,8:00,17:00,Main Berth 8/9,1258,719,Moran,Holland,751,
3,Fri,05/10/13,Norwegian Dawn,Turn,7 Day,Boston/Bermuda/Boston,7:00,16:00,Main Berth 8/9,2224,958,Moran,NCL,14130510,
4,Fri,05/17/13,Norwegian Dawn,Turn,7 Day,Boston/Bermuda/Boston,7:00,16:00,Main Berth 8/9,2224,958,Moran,NCL,14130517,
5,Sat,05/18/13,Veendam,Turn,14 Day,Boston/Montreal/BOS,7:00,17:00,Main Berth 8/9,1258,719,Moran,Holland,753,
6,Fri,05/24/13,Norwegian Dawn,Turn,7 Day,Boston/Bermuda/Boston,7:00,16:00,Main Berth 8/9,2224,958,Moran,NCL,14130524,
7,Sat,05/25/13,Maasdam,Turn,14 Day,Boston/Montreal/BOS-Debark/Emb,7:00,17:00,Main Berth 8/9,1258,719,Moran,Holland,755,
8,Sun,05/26/13,Crystal Symphony,POC,1 Day,,8:00,17:00,Main Berth 8/9,940,778,Moran,Crystal Cruises,3212,
9,Fri,05/31/13,Norwegian Dawn,Turn,7 Day,Boston/Bermuda/Boston,7:00,16:00,Main Berth 8/9,2224,958,Moran,NCL,14130531,
10,Sat,06/01/13,Veendam,Turn,14 Day,Boston/Montreal/BOS,7:00,17:00,Main Berth 8/9,1258,719,Moran,Holland,754,
11,Tue,06/04/13,Carnival Glory,Turn,5 Day,Embark Only per CCL,8:00,16:00,Main Berth 8/9,2974,952,Intercruises,Carnival,glo5060413,
12,Fri,06/07/13,Norwegian Dawn,Turn,7 Day,Boston/Bermuda/Boston,7:00,16:00,Main Berth 8/9,2224,958,Moran,NCL,14130607,
13,Sat,06/08/13,Maasdam,Turn,14 Day,Boston/Montreal/BOS,7:00,17:00,Main Berth 8/9,1258,719,Moran,Holland,757,
14,Sun,06/09/13,Carnival Glory,Turn,7 Day,Bos/ME/SJ/Hal/Sydney/Bos,8:00,16:00,Main Berth 8/9,2974,952,Intercruises,Carnival,glo7060913,
15,Mon,06/10/13,Asuka 2,POC,1 Day,,7:00,22:00,Main Berth 8/9,960,791,Norton Lilly,NYK Cruises,100,
16,Fri,06/14/13,Norwegian Dawn,Turn,7 Day,Boston/Bermuda/Boston,7:00,16:00,Main Berth 8/9,2224,958,Moran,NCL,14130614,
17,Sat,06/15/13,Veendam,Turn,14 Day,Boston/Montreal/BOS,7:00,17:00,Main Berth 8/9,1258,719,Moran,Holland,758,
18,Sun,06/16/13,Carnival Glory,Turn,4 Day,Boston/SJ/Boston,8:00,16:00,Main Berth 8/9,2974,952,Intercruises,Carnival,glo7061613,
19,Thu,06/20/13,Carnival Glory,Turn,5 Day,Boston/SJ/Hal/Boston,8:00,16:00,Main Berth 8/9,2974,952,Intercruises,Carnival,glo4062013,
