Arrive Norwegian Dawn,2013-05-03 07:00:00,2013-05-03 08:00:00,arriving from St Thomas -Debark/Emb,Main Berth 8/9
Arrive Veendam,2013-05-04 08:00:00,2013-05-04 09:00:00,Boston/Montreal/BOS-Debark/Emb,Main Berth 8/9
Arrive Norwegian Dawn,2013-05-10 07:00:00,2013-05-10 08:00:00,Boston/Bermuda/Boston,Main Berth 8/9
Arrive Norwegian Dawn,2013-05-17 07:00:00,2013-05-17 08:00:00,Boston/Bermuda/Boston,Main Berth 8/9
Arrive Veendam,2013-05-18 07:00:00,2013-05-18 08:00:00,Boston/Montreal/BOS,Main Berth 8/9
Arrive Norwegian Dawn,2013-05-24 07:00:00,2013-05-24 08:00:00,Boston/Bermuda/Boston,Main Berth 8/9
Arrive Maasdam,2013-05-25 07:00:00,2013-05-25 08:00:00,Boston/Montreal/BOS-Debark/Emb,Main Berth 8/9
Arrive Crystal Symphony,2013-05-26 08:00:00,2013-05-26 09:00:00,,Main Berth 8/9
Arrive Norwegian Dawn,2013-05-31 07:00:00,2013-05-31 08:00:00,Boston/Bermuda/Boston,Main Berth 8/9
Arrive Veendam,2013-06-01 07:00:00,2013-06-01 08:00:00,Boston/Montreal/BOS,Main Berth 8/9
Arrive Carnival Glory,2013-06-04 08:00:00,2013-06-04 09:00:00,Embark Only per CCL,Main Berth 8/9
Arrive Norwegian Dawn,2013-06-07 07:00:00,2013-06-07 08:00:00,Boston/Bermuda/Boston,Main Berth 8/9
Arrive Maasdam,2013-06-08 07:00:00,2013-06-08 08:00:00,Boston/Montreal/BOS,Main Berth 8/9
Arrive Carnival Glory,2013-06-09 08:00:00,2013-06-09 09:00:00,Bos/ME/SJ/Hal/Sydney/Bos,Main Berth 8/9
Arrive Asuka 2,2013-06-10 07:00:00,2013-06-10 08:00:00,,Main Berth 8/9
Arrive Norwegian Dawn,2013-06-14 07:00:00,2013-06-14 08:00:00,Boston/Bermuda/Boston,Main Berth 8/9
Arrive Veendam,2013-06-15 07:00:00,2013-06-15 08:00:00,Boston/Montreal/BOS,Main Berth 8/9
Arrive Carnival Glory,2013-06-16 08:00:00,2013-06-16 09:00:00,Boston/SJ/Boston,Main Berth 8/9
Arrive Carnival Glory,2013-06-20 08:00:00,2013-06-20 09:00:00,Boston/SJ/Hal/Boston,Main Berth 8/9
Arrive Norwegian Dawn,2013-06-21 07:00:00,2013-06-21 08:00:00,Boston/Bermuda/Boston,Main Berth 8/9
Arrive Maasdam,2013-06-22 07:00:00,2013-06-22 08:00:00,Boston/Montreal/BOS,Main Berth 8/9
Arrive Carnival Glory,2013-06-25 08:00:00,2013-06-25 09:00:00,Boston/SJ/Hal/Boston,Main Berth 8/9
Arrive Norwegian Dawn,2013-06-28 07:00:00,2013-06-28 08:00:00,Boston/Bermuda/Boston,Main Berth 8/9
Arrive Veendam,2013-06-29 07:00:00,2013-06-29 08:00:00,Boston/Montreal/BOS,Main Berth 8/9
Arrive Carnival Glory,2013-06-30 08:00:00,2013-06-30 09:00:00,Boston/SJ/Boston,Main Berth 8/9
Arrive Queen Mary 2,2013-07-04 11:00:00,2013-07-04 12:00:00,Sails @ 1am,Ware Berth 6/7
Arrive Carnival Glory,2013-07-04 08:00:00,2013-07-04 09:00:00,Boston/SJ/Hal/Boston,Main Berth 8/9
Arrive Norwegian Dawn,2013-07-05 07:00:00,2013-07-05 08:00:00,Boston/Bermuda/Boston,Main Berth 8/9
Arrive Maasdam,2013-07-06 07:00:00,2013-07-06 08:00:00,Boston/Montreal/BOS,Main Berth 8/9
Arrive Carnival Glory,2013-07-09 08:00:00,2013-07-09 09:00:00,Boston/SJ/Hal/Boston,Main Berth 8/9
Arrive Norwegian Dawn,2013-07-12 07:00:00,2013-07-12 08:00:00,Boston/Bermuda/Boston,Main Berth 8/9
Arrive Veendam,2013-07-13 07:00:00,2013-07-13 08:00:00,Transatlantic,Main Berth 8/9
Arrive Carnival Glory,2013-07-14 08:00:00,2013-07-14 09:00:00,Bos/ME/SJ/Hal/Sydney/Bos,Main Berth 8/9
Arrive Norwegian Dawn,2013-07-19 07:00:00,2013-07-19 08:00:00,Boston/Bermuda/Boston,Main Berth 8/9
Arrive Maasdam,2013-07-20 07:00:00,2013-07-20 08:00:00,Boston/Montreal/BOS,Main Berth 8/9
Arrive Carnival Glory,2013-07-21 08:00:00,2013-07-21 09:00:00,Bos/ME/SJ/Hal/Sydney/Bos,Main Berth 8/9
Arrive Norwegian Dawn,2013-07-26 07:00:00,2013-07-26 08:00:00,Boston/Bermuda/Boston,Main Berth 8/9
Arrive Carnival Glory,2013-07-28 08:00:00,2013-07-28 09:00:00,Debark only per CCL,Main Berth 8/9
Arrive Norwegian Dawn,2013-08-02 07:00:00,2013-08-02 08:00:00,Boston/Bermuda/Boston,Main Berth 8/9
Arrive Maasdam,2013-08-03 07:00:00,2013-08-03 08:00:00,Boston/Montreal/BOS,Main Berth 8/9
Arrive Norwegian Dawn,2013-08-09 07:00:00,2013-08-09 08:00:00,Boston/Bermuda/Boston,Main Berth 8/9
Arrive Norwegian Dawn,2013-08-16 07:00:00,2013-08-16 08:00:00,Boston/Bermuda/Boston,Main Berth 8/9
Arrive Veendam,2013-08-17 07:00:00,2013-08-17 08:00:00,Boston/Montreal/BOS,Main Berth 8/9
Arrive Maasdam,2013-08-17 07:00:00,2013-08-17 08:00:00,Boston/Montreal/BOS,Ware Berth 6/7
